Nom;Modèle;Marque;Capacité;RAM;Connectivité;Couleur;norm;tokens;EAN;PartNumber
+ frais de transport chrono;+ frais de transport chrono;;;;;;+ frais de transport chrono;{'de', '+', 'frais', 'chrono', 'transport'};;
Abonnement forfait convergence;Abonnement forfait convergence;;;;;;abonnement forfait convergence;{'abonnement', 'convergence', 'forfait'};;
Acompte;Acompte;;;;;;acompte;{'acompte'};;
activation de SIM;activation de SIM;;;;;;activation de sim;{'sim', 'de', 'activation'};;
Universal neck strap for phones Red;Universal neck strap for phones;;;;;Red;universal neck strap for phones red;{'red', 'neck', 'for', 'phones', 'strap', 'universal'};;
Universal neck strap for phones Violet;Universal neck strap for phones;;;;;Violet;universal neck strap for phones violet;{'neck', 'violet', 'for', 'phones', 'strap', 'universal'};;
"Verbatim HDD externe 2.5"" 320Gb Black - CPO ";"Verbatim HDD externe 2.5"" - CPO";;320GB;;;Black;"verbatim hdd externe 2.5"" 320gb black cpo";"{'black', '2.5""', 'externe', '320gb', 'cpo', 'verbatim', 'hdd'}";;
VERRE TREMPE Tempered Glass - pour Samsung A057 A05s;VERRE TREMPE Tempered Glass - A057 A05s;Samsung;;;;;verre trempe tempered glass pour samsung a057 a05s;{'verre', 'pour', 'trempe', 'glass', 'a05s', 'samsung', 'a057', 'tempered'};;
VERRE TREMPE Tempered Glass - pour Xiaomi Redmi 9A/9AT;VERRE TREMPE Tempered Glass - Redmi 9A/9AT;Xiaomi;;;;;verre trempe tempered glass pour xiaomi redmi 9a 9at;{'verre', 'pour', 'trempe', '9a', 'glass', '9at', 'xiaomi', 'redmi', 'tempered'};;
Watch Google FiTbit Charge 6 Black;Watch FiTbit Charge 6;Google;;;;Black;watch google fitbit charge 6 black;{'black', 'charge', '6', 'google', 'watch', 'fitbit'};;
Watch Google FiTbit Sense 2 Graphite;Watch FiTbit Sense 2;Google;;;;Graphite;watch google fitbit sense 2 graphite;{'2', 'google', 'graphite', 'watch', 'fitbit', 'sense'};;
Watch Google FiTbit Sense 2 White;Watch FiTbit Sense 2;Google;;;;White;watch google fitbit sense 2 white;{'2', 'google', 'watch', 'fitbit', 'sense', 'white'};;
Watch Google FiTbit Versa 4 Blue;Watch FiTbit Versa 4;Google;;;;Blue;watch google fitbit versa 4 blue;{'4', 'google', 'watch', 'fitbit', 'blue', 'versa'};;
Watch Google FiTbit Versa 4 Copper Rose;Watch FiTbit Versa 4 Rose;Google;;;;Copper;watch google fitbit versa 4 copper rose;{'copper', '4', 'google', 'watch', 'fitbit', 'rose', 'versa'};;
Watch Google FiTbit Versa 4 Graphite;Watch FiTbit Versa 4;Google;;;;Graphite;watch google fitbit versa 4 graphite;{'4', 'google', 'graphite', 'watch', 'fitbit', 'versa'};;
Watch Google FiTbit Versa 4 Pink;Watch FiTbit Versa 4;Google;;;;Pink;watch google fitbit versa 4 pink;{'pink', '4', 'google', 'watch', 'fitbit', 'versa'};;
Watch Google Pixel Watch 3 41mm BT Porcelain;Watch Pixel Watch 3 41mm BT;Google;;;;Porcelain;watch google pixel watch 3 41mm bt porcelain;{'porcelain', '41mm', 'google', 'watch', 'bt', 'pixel', '3'};;
Xiaomi 12 Lite 5G DS 8/256Gb Black;12 Lite DS;Xiaomi;256GB;8;5G;Black;xiaomi 12 lite 5g ds 8 256gb black;{'black', '256gb', '5g', '12', 'xiaomi', 'ds', '8', 'lite'};;
Xiaomi 120W Adapter (Type A) + USB-C Cable;120W Adapter +;Xiaomi;;;;;xiaomi 120w adapter type a + usb c cable;{'usb', '120w', '+', 'xiaomi', 'c', 'adapter', 'a', 'type', 'cable'};6941812714638;
Xiaomi 120W Charging Combo (Type A) + USB-C Cable;120W Combo +;Xiaomi;;;;;xiaomi 120w charging combo type a + usb c cable;{'usb', '120w', '+', 'charging', 'xiaomi', 'c', 'a', 'type', 'cable', 'combo'};;
Xiaomi 13T Pro 5G DS 12/512Gb Black;13T Pro DS;Xiaomi;512GB;12;5G;Black;xiaomi 13t pro 5g ds 12 512gb black;{'black', '5g', '12', '512gb', 'xiaomi', 'ds', 'pro', '13t'};;
Xiaomi 14 Ultra 5G DS 16/512Gb Black;14 Ultra DS;Xiaomi;512GB;16;5G;Black;xiaomi 14 ultra 5g ds 16 512gb black;{'16', 'black', '5g', '512gb', 'xiaomi', 'ds', '14', 'ultra'};6941812763124;
Xiaomi 14T 5G DS 12/256Gb Black;14T DS;Xiaomi;256GB;12;5G;Black;xiaomi 14t 5g ds 12 256gb black;{'black', '256gb', '5g', '12', 'xiaomi', 'ds', '14t'};6941812712054;
Xiaomi 14T 5G DS 12/256Gb Blue;14T DS;Xiaomi;256GB;12;5G;Blue;xiaomi 14t 5g ds 12 256gb blue;{'256gb', '5g', '12', 'xiaomi', 'ds', 'blue', '14t'};;
Xiaomi 14T 5G DS 12/256Gb Green;14T DS;Xiaomi;256GB;12;5G;Green;xiaomi 14t 5g ds 12 256gb green;{'256gb', '5g', '12', 'green', 'xiaomi', 'ds', '14t'};;
Xiaomi 14T 5G DS 12/256Gb Grey;14T DS;Xiaomi;256GB;12;5G;Grey;xiaomi 14t 5g ds 12 256gb grey;{'256gb', '5g', '12', 'grey', 'xiaomi', 'ds', '14t'};6941812712153;
Xiaomi 14T Pro 5G DS 12/1Tb Black;14T Pro DS;Xiaomi;1TB;12;5G;Black;xiaomi 14t pro 5g ds 12 1tb black;{'black', '5g', '12', '1tb', 'xiaomi', 'ds', '14t', 'pro'};;
Xiaomi 14T Pro 5G DS 12/512Gb Black;14T Pro DS;Xiaomi;512GB;12;5G;Black;xiaomi 14t pro 5g ds 12 512gb black;{'black', '5g', '12', '512gb', 'xiaomi', 'ds', '14t', 'pro'};6941812789407;
Xiaomi 14T Pro 5G DS 12/512Gb Blue;14T Pro DS;Xiaomi;512GB;12;5G;Blue;xiaomi 14t pro 5g ds 12 512gb blue;{'5g', '12', '512gb', 'xiaomi', 'ds', 'blue', '14t', 'pro'};;
Xiaomi 14T Pro 5G DS 12/512Gb Grey;14T Pro DS;Xiaomi;512GB;12;5G;Grey;xiaomi 14t pro 5g ds 12 512gb grey;{'5g', '12', '512gb', 'grey', 'xiaomi', 'ds', '14t', 'pro'};6941812789032;
Xiaomi 15 5G DS 12/512Gb Black;15 DS;Xiaomi;512GB;12;5G;Black;xiaomi 15 5g ds 12 512gb black;{'black', '5g', '12', '512gb', 'xiaomi', 'ds', '15'};6932554406110;
Xiaomi 15 5G DS 12/512Gb Green;15 DS;Xiaomi;512GB;12;5G;Green;xiaomi 15 5g ds 12 512gb green;{'green', '5g', '12', '512gb', 'xiaomi', 'ds', '15'};6932554406035;
Xiaomi 15 5G DS 12/512Gb White;15 DS;Xiaomi;512GB;12;5G;White;xiaomi 15 5g ds 12 512gb white;{'5g', '12', '512gb', 'xiaomi', 'ds', 'white', '15'};6932554405946;
Xiaomi 15 Ultra 5G DS 16/512Gb Black;15 Ultra DS;Xiaomi;512GB;16;5G;Black;xiaomi 15 ultra 5g ds 16 512gb black;{'16', 'black', '5g', '512gb', 'xiaomi', 'ds', '15', 'ultra'};;
Xiaomi 15 Ultra 5G DS 16/512Gb Silver;15 Ultra DS;Xiaomi;512GB;16;5G;Silver;xiaomi 15 ultra 5g ds 16 512gb silver;{'16', '5g', '512gb', 'xiaomi', 'ds', 'silver', '15', 'ultra'};6932554420741;
Xiaomi 15 Ultra 5G DS 16/512Gb White;15 Ultra DS;Xiaomi;512GB;16;5G;White;xiaomi 15 ultra 5g ds 16 512gb white;{'16', '5g', '512gb', 'xiaomi', 'ds', 'white', '15', 'ultra'};;
Xiaomi 45W Turbo Charging Power Adapter (Type A) ;45W Turbo Power Adapter;Xiaomi;;;;;xiaomi 45w turbo charging power adapter type a;{'charging', '45w', 'xiaomi', 'turbo', 'power', 'adapter', 'a', 'type'};;
Xiaomi 67W USB-A Hyper Combo Adapter White;67W Hyper Combo Adapter;Xiaomi;;;;White;xiaomi 67w usb a hyper combo adapter white;{'usb', 'hyper', 'xiaomi', 'adapter', 'white', '67w', 'a', 'combo'};6941812714393;
Xiaomi HyperCharge Powerbank 25.000mAh 212W Black;HyperCharge Powerbank 25.000mAh 212W;Xiaomi;;;;Black;xiaomi hypercharge powerbank 25.000mah 212w black;{'black', '25.000mah', '212w', 'xiaomi', 'hypercharge', 'powerbank'};6932554418410;
Xiaomi Mi Air Purifier 4 White;Mi Air Purifier 4;Xiaomi;;;;White;xiaomi mi air purifier 4 white;{'4', 'xiaomi', 'purifier', 'mi', 'white', 'air'};;
Xiaomi Mi Smart TV Stick 4K Black;Mi Smart TV Stick 4K;Xiaomi;;;;Black;xiaomi mi smart tv stick 4k black;{'black', 'tv', '4k', 'stick', 'smart', 'xiaomi', 'mi'};6941948703513;
Xiaomi Mi TV Box S 2nd Gen 4K Black;Mi TV Box S 2nd Gen 4K;Xiaomi;;;;Black;xiaomi mi tv box s 2nd gen 4k black;{'black', 'box', 'tv', '4k', 'xiaomi', 'mi', '2nd', 'gen', 's'};;
Xiaomi Mi TV Box S 3rd Gen 4K Black;Mi TV Box S 3rd Gen 4K;Xiaomi;;;;Black;xiaomi mi tv box s 3rd gen 4k black;{'black', 'box', 'tv', '4k', 'xiaomi', 'mi', 'gen', 's', '3rd'};6941948704916;
Xiaomi Mi TV Stick Black;Mi TV Stick;Xiaomi;;;;Black;xiaomi mi tv stick black;{'black', 'tv', 'stick', 'xiaomi', 'mi'};6971408152254;
Xiaomi Mix Flip 5G DS 12/512Gb Black;Mix Flip DS;Xiaomi;512GB;12;5G;Black;xiaomi mix flip 5g ds 12 512gb black;{'black', '5g', 'mix', '12', '512gb', 'flip', 'xiaomi', 'ds'};;
Xiaomi Pad 7 11.0 8/128Gb WiFi Grey;Pad 7 11.0;Xiaomi;128GB;8;WIFI;Grey;xiaomi pad 7 11.0 8 128gb wifi grey;{'11.0', 'pad', 'wifi', 'grey', 'xiaomi', '128gb', '7', '8'};;
Xiaomi Pad 7 11.0 8/256Gb WiFi Blue;Pad 7 11.0;Xiaomi;256GB;8;WIFI;Blue;xiaomi pad 7 11.0 8 256gb wifi blue;{'11.0', '256gb', 'pad', 'wifi', 'xiaomi', 'blue', '7', '8'};;
Xiaomi Pad 7 11.0 8/256Gb WiFi Green;Pad 7 11.0;Xiaomi;256GB;8;WIFI;Green;xiaomi pad 7 11.0 8 256gb wifi green;{'11.0', '256gb', 'green', 'pad', 'wifi', 'xiaomi', '7', '8'};;
Xiaomi Pad 7 11.0 8/256Gb WiFi Grey;Pad 7 11.0;Xiaomi;256GB;8;WIFI;Grey;xiaomi pad 7 11.0 8 256gb wifi grey;{'11.0', '256gb', 'pad', 'wifi', 'grey', 'xiaomi', '7', '8'};6932554410568;
Xiaomi Poco C75 DS 6/128Gb Black;Poco C75 DS;Xiaomi;128GB;6;;Black;xiaomi poco c75 ds 6 128gb black;{'black', 'c75', '6', 'poco', 'xiaomi', '128gb', 'ds'};6932554457037;
Xiaomi Poco C75 DS 6/128Gb Gold;Poco C75 DS;Xiaomi;128GB;6;;Gold;xiaomi poco c75 ds 6 128gb gold;{'c75', '6', 'gold', 'poco', 'xiaomi', '128gb', 'ds'};;
Xiaomi Poco C75 DS 6/128Gb Green;Poco C75 DS;Xiaomi;128GB;6;;Green;xiaomi poco c75 ds 6 128gb green;{'c75', 'green', '6', 'poco', 'xiaomi', '128gb', 'ds'};;
Xiaomi Poco C75 DS 8/256Gb Black;Poco C75 DS;Xiaomi;256GB;8;;Black;xiaomi poco c75 ds 8 256gb black;{'black', 'c75', '256gb', 'poco', 'xiaomi', 'ds', '8'};;
Xiaomi Poco C75 DS 8/256Gb Gold;Poco C75 DS;Xiaomi;256GB;8;;Gold;xiaomi poco c75 ds 8 256gb gold;{'c75', '256gb', 'gold', 'poco', 'xiaomi', 'ds', '8'};;
Xiaomi Poco C75 DS 8/256Gb Green;Poco C75 DS;Xiaomi;256GB;8;;Green;xiaomi poco c75 ds 8 256gb green;{'c75', '256gb', 'green', 'poco', 'xiaomi', 'ds', '8'};;
Xiaomi Poco F6 Pro 5G DS 12/512Gb Black;Poco F6 Pro DS;Xiaomi;512GB;12;5G;Black;xiaomi poco f6 pro 5g ds 12 512gb black;{'black', '5g', '12', '512gb', 'f6', 'poco', 'xiaomi', 'ds', 'pro'};;
Xiaomi Poco F7 5G DS 12/256Gb Black;Poco F7 DS;Xiaomi;256GB;12;5G;Black;xiaomi poco f7 5g ds 12 256gb black;{'black', 'f7', '256gb', '5g', '12', 'poco', 'xiaomi', 'ds'};6932554438166;
Xiaomi Poco F7 5G DS 12/512Gb Black;Poco F7 DS;Xiaomi;512GB;12;5G;Black;xiaomi poco f7 5g ds 12 512gb black;{'black', 'f7', '5g', '12', '512gb', 'poco', 'xiaomi', 'ds'};6932554438043;
Xiaomi Poco F7 Pro 5G DS 12/256Gb Black;Poco F7 Pro DS;Xiaomi;256GB;12;5G;Black;xiaomi poco f7 pro 5g ds 12 256gb black;{'black', 'f7', '256gb', '5g', '12', 'poco', 'xiaomi', 'ds', 'pro'};;
Xiaomi Poco F7 Pro 5G DS 12/256Gb Silver;Poco F7 Pro DS;Xiaomi;256GB;12;5G;Silver;xiaomi poco f7 pro 5g ds 12 256gb silver;{'f7', '256gb', '5g', '12', 'poco', 'xiaomi', 'ds', 'silver', 'pro'};;
Xiaomi Poco F7 Pro 5G DS 12/512Gb Black;Poco F7 Pro DS;Xiaomi;512GB;12;5G;Black;xiaomi poco f7 pro 5g ds 12 512gb black;{'black', 'f7', '5g', '12', '512gb', 'poco', 'xiaomi', 'ds', 'pro'};6932554461812;
Xiaomi Poco F7 Pro 5G DS 12/512Gb Blue;Poco F7 Pro DS;Xiaomi;512GB;12;5G;Blue;xiaomi poco f7 pro 5g ds 12 512gb blue;{'f7', '5g', '12', '512gb', 'poco', 'xiaomi', 'ds', 'blue', 'pro'};;
Xiaomi Poco F7 Pro 5G DS 12/512Gb Silver;Poco F7 Pro DS;Xiaomi;512GB;12;5G;Silver;xiaomi poco f7 pro 5g ds 12 512gb silver;{'f7', '5g', '12', '512gb', 'poco', 'xiaomi', 'ds', 'silver', 'pro'};6932554411572;
Xiaomi Poco F7 Ultra 5G DS 12/256Gb Black;Poco F7 Ultra DS;Xiaomi;256GB;12;5G;Black;xiaomi poco f7 ultra 5g ds 12 256gb black;{'black', 'f7', '256gb', '5g', '12', 'poco', 'xiaomi', 'ds', 'ultra'};6932554411169;
Xiaomi Poco F7 Ultra 5G DS 16/512Gb Black;Poco F7 Ultra DS;Xiaomi;512GB;16;5G;Black;xiaomi poco f7 ultra 5g ds 16 512gb black;{'16', 'f7', 'black', '5g', '512gb', 'poco', 'xiaomi', 'ds', 'ultra'};6932554411299;
Xiaomi Poco F7 Ultra 5G DS 16/512Gb Yellow;Poco F7 Ultra DS;Xiaomi;512GB;16;5G;Yellow;xiaomi poco f7 ultra 5g ds 16 512gb yellow;{'16', 'f7', '5g', '512gb', 'poco', 'yellow', 'xiaomi', 'ds', 'ultra'};6932554421038;
Xiaomi Poco M6 DS 6/128Gb Purple;Poco M6 DS;Xiaomi;128GB;6;;Purple;xiaomi poco m6 ds 6 128gb purple;{'m6', '6', 'purple', 'poco', 'xiaomi', '128gb', 'ds'};;
Xiaomi Poco M7 Pro 5G DS 8/256Gb Green;Poco M7 Pro DS;Xiaomi;256GB;8;5G;Green;xiaomi poco m7 pro 5g ds 8 256gb green;{'256gb', '5g', 'green', 'm7', 'poco', 'xiaomi', 'ds', 'pro', '8'};;
Xiaomi Poco M7 Pro 5G DS 8/256Gb Purple;Poco M7 Pro DS;Xiaomi;256GB;8;5G;Purple;xiaomi poco m7 pro 5g ds 8 256gb purple;{'256gb', '5g', 'm7', 'purple', 'poco', 'xiaomi', 'ds', 'pro', '8'};;
Xiaomi Poco M7 Pro 5G DS 8/256Gb Silver;Poco M7 Pro DS;Xiaomi;256GB;8;5G;Silver;xiaomi poco m7 pro 5g ds 8 256gb silver;{'256gb', '5g', 'm7', 'poco', 'xiaomi', 'ds', 'silver', 'pro', '8'};;
Xiaomi Poco Pad 12.1 8/256Gb WiFi Blue;Poco Pad 12.1;Xiaomi;256GB;8;WIFI;Blue;xiaomi poco pad 12.1 8 256gb wifi blue;{'256gb', 'pad', 'wifi', '12.1', 'poco', 'xiaomi', 'blue', '8'};;
Xiaomi Poco Pad 12.1 8/256Gb WiFi Grey;Poco Pad 12.1;Xiaomi;256GB;8;WIFI;Grey;xiaomi poco pad 12.1 8 256gb wifi grey;{'256gb', 'pad', 'wifi', '12.1', 'poco', 'grey', 'xiaomi', '8'};;
Xiaomi Poco X7 5G DS 12/512Gb Green;Poco X7 DS;Xiaomi;512GB;12;5G;Green;xiaomi poco x7 5g ds 12 512gb green;{'green', '5g', '12', '512gb', 'poco', 'xiaomi', 'ds', 'x7'};;
Xiaomi Poco X7 5G DS 8/256Gb Black;Poco X7 DS;Xiaomi;256GB;8;5G;Black;xiaomi poco x7 5g ds 8 256gb black;{'black', '256gb', '5g', 'poco', 'xiaomi', 'ds', 'x7', '8'};;
Xiaomi Poco X7 5G DS 8/256Gb Silver;Poco X7 DS;Xiaomi;256GB;8;5G;Silver;xiaomi poco x7 5g ds 8 256gb silver;{'256gb', '5g', 'poco', 'xiaomi', 'ds', 'silver', 'x7', '8'};;
Xiaomi Poco X7 Pro 5G DS 12/256Gb Black;Poco X7 Pro DS;Xiaomi;256GB;12;5G;Black;xiaomi poco x7 pro 5g ds 12 256gb black;{'black', '256gb', '5g', '12', 'poco', 'xiaomi', 'ds', 'x7', 'pro'};;
Xiaomi Poco X7 Pro 5G DS 12/256Gb Green;Poco X7 Pro DS;Xiaomi;256GB;12;5G;Green;xiaomi poco x7 pro 5g ds 12 256gb green;{'256gb', '5g', '12', 'green', 'poco', 'xiaomi', 'ds', 'x7', 'pro'};;
Xiaomi Poco X7 Pro 5G DS 12/256Gb Yellow;Poco X7 Pro DS;Xiaomi;256GB;12;5G;Yellow;xiaomi poco x7 pro 5g ds 12 256gb yellow;{'256gb', '5g', '12', 'poco', 'yellow', 'xiaomi', 'ds', 'x7', 'pro'};6932554408930;
Xiaomi Poco X7 Pro 5G DS 12/512Gb Black;Poco X7 Pro DS;Xiaomi;512GB;12;5G;Black;xiaomi poco x7 pro 5g ds 12 512gb black;{'black', '5g', '12', '512gb', 'poco', 'xiaomi', 'ds', 'x7', 'pro'};;
Xiaomi Poco X7 Pro 5G DS 12/512Gb Green;Poco X7 Pro DS;Xiaomi;512GB;12;5G;Green;xiaomi poco x7 pro 5g ds 12 512gb green;{'green', '5g', '12', '512gb', 'poco', 'xiaomi', 'ds', 'x7', 'pro'};6932554408770;
Xiaomi Poco X7 Pro 5G DS 12/512Gb Yellow;Poco X7 Pro DS;Xiaomi;512GB;12;5G;Yellow;xiaomi poco x7 pro 5g ds 12 512gb yellow;{'5g', '12', '512gb', 'poco', 'yellow', 'xiaomi', 'ds', 'x7', 'pro'};6932554408947;
Xiaomi Poco X7 Pro 5G DS 8/256Gb Black;Poco X7 Pro DS;Xiaomi;256GB;8;5G;Black;xiaomi poco x7 pro 5g ds 8 256gb black;{'black', '256gb', '5g', 'poco', 'xiaomi', 'ds', 'x7', 'pro', '8'};6932554461843;
Xiaomi Poco X7 Pro 5G DS 8/256Gb Green;Poco X7 Pro DS;Xiaomi;256GB;8;5G;Green;xiaomi poco x7 pro 5g ds 8 256gb green;{'256gb', '5g', 'green', 'poco', 'xiaomi', 'ds', 'x7', 'pro', '8'};6932554409135;
Xiaomi Poco X7 Pro 5G DS 8/256Gb Yellow;Poco X7 Pro DS;Xiaomi;256GB;8;5G;Yellow;xiaomi poco x7 pro 5g ds 8 256gb yellow;{'256gb', '5g', 'poco', 'yellow', 'xiaomi', 'ds', 'x7', 'pro', '8'};6932554408831;
Xiaomi Portable Electric Air Compressor 2 Black;Portable Electric Air Compressor 2;Xiaomi;;;;Black;xiaomi portable electric air compressor 2 black;{'black', 'compressor', 'electric', '2', 'portable', 'xiaomi', 'air'};6941812720974;
Xiaomi Redmi 13 4G DS 6/128Gb Black;Redmi 13 DS;Xiaomi;128GB;6;4G;Black;xiaomi redmi 13 4g ds 6 128gb black;{'black', '6', '4g', 'xiaomi', '128gb', 'ds', '13', 'redmi'};;
Xiaomi Redmi 13 4G DS 6/128Gb Blue;Redmi 13 DS;Xiaomi;128GB;6;4G;Blue;xiaomi redmi 13 4g ds 6 128gb blue;{'6', '4g', 'xiaomi', '128gb', 'ds', 'blue', '13', 'redmi'};;
Xiaomi Redmi 13 4G DS 8/256Gb Black;Redmi 13 DS;Xiaomi;256GB;8;4G;Black;xiaomi redmi 13 4g ds 8 256gb black;{'black', '256gb', '4g', 'xiaomi', 'ds', '13', 'redmi', '8'};;
Xiaomi Redmi 13 4G DS 8/256Gb Blue;Redmi 13 DS;Xiaomi;256GB;8;4G;Blue;xiaomi redmi 13 4g ds 8 256gb blue;{'256gb', '4g', 'xiaomi', 'ds', 'blue', '13', 'redmi', '8'};;
Xiaomi Redmi 13 4G DS 8/256Gb Pink;Redmi 13 DS;Xiaomi;256GB;8;4G;Pink;xiaomi redmi 13 4g ds 8 256gb pink;{'pink', '256gb', '4g', 'xiaomi', 'ds', '13', 'redmi', '8'};;
Xiaomi Redmi 14C 4G DS 4/128Gb Black;Redmi 14C DS;Xiaomi;128GB;4;4G;Black;xiaomi redmi 14c 4g ds 4 128gb black;{'black', '14c', '4', '4g', 'xiaomi', '128gb', 'ds', 'redmi'};6941812798218;
Xiaomi Redmi 14C 4G DS 4/128Gb Blue;Redmi 14C DS;Xiaomi;128GB;4;4G;Blue;xiaomi redmi 14c 4g ds 4 128gb blue;{'14c', '4', '4g', 'xiaomi', '128gb', 'ds', 'blue', 'redmi'};;
Xiaomi Redmi 14C 4G DS 4/128Gb Green;Redmi 14C DS;Xiaomi;128GB;4;4G;Green;xiaomi redmi 14c 4g ds 4 128gb green;{'green', '14c', '4', '4g', 'xiaomi', '128gb', 'ds', 'redmi'};6941812787670;
Xiaomi Redmi 14C 4G DS 8/256Gb Black;Redmi 14C DS;Xiaomi;256GB;8;4G;Black;xiaomi redmi 14c 4g ds 8 256gb black;{'black', '256gb', '14c', '4g', 'xiaomi', 'ds', 'redmi', '8'};6941812798423;
Xiaomi Redmi 14C 4G DS 8/256Gb Blue;Redmi 14C DS;Xiaomi;256GB;8;4G;Blue;xiaomi redmi 14c 4g ds 8 256gb blue;{'256gb', '14c', '4g', 'xiaomi', 'ds', 'blue', 'redmi', '8'};;
Xiaomi Redmi 14C 4G DS 8/256Gb Green;Redmi 14C DS;Xiaomi;256GB;8;4G;Green;xiaomi redmi 14c 4g ds 8 256gb green;{'256gb', 'green', '14c', '4g', 'xiaomi', 'ds', 'redmi', '8'};;
Xiaomi Redmi 15 4G DS 6/128Gb Midnight Black;Redmi 15 DS Black;Xiaomi;128GB;6;4G;Midnight;xiaomi redmi 15 4g ds 6 128gb midnight black;{'black', '6', '4g', 'xiaomi', '128gb', 'ds', 'redmi', '15', 'midnight'};6932554445119;
Xiaomi Redmi 15 4G DS 6/128Gb Sandy Purple;Redmi 15 DS Sandy;Xiaomi;128GB;6;4G;Purple;xiaomi redmi 15 4g ds 6 128gb sandy purple;{'6', 'sandy', 'purple', '4g', 'xiaomi', '128gb', 'ds', 'redmi', '15'};6932554450168;
Xiaomi Redmi 15 4G DS 6/128Gb Titan Grey;Redmi 15 DS Titan;Xiaomi;128GB;6;4G;Grey;xiaomi redmi 15 4g ds 6 128gb titan grey;{'titan', '6', '4g', 'grey', 'xiaomi', '128gb', 'ds', 'redmi', '15'};6932554450052;
Xiaomi Redmi 15 4G DS 8/256Gb Midnight Black;Redmi 15 DS Black;Xiaomi;256GB;8;4G;Midnight;xiaomi redmi 15 4g ds 8 256gb midnight black;{'black', '256gb', '4g', 'xiaomi', 'ds', 'redmi', '8', '15', 'midnight'};6932554445126;
Xiaomi Redmi 15 4G DS 8/256Gb Sandy Purple;Redmi 15 DS Sandy;Xiaomi;256GB;8;4G;Purple;xiaomi redmi 15 4g ds 8 256gb sandy purple;{'256gb', 'sandy', 'purple', '4g', 'xiaomi', 'ds', 'redmi', '8', '15'};;
Xiaomi Redmi 15 4G DS 8/256Gb Titan Gray;Redmi 15 DS Titan;Xiaomi;256GB;8;4G;Gray;xiaomi redmi 15 4g ds 8 256gb titan gray;{'256gb', 'titan', '4g', 'gray', 'xiaomi', 'ds', 'redmi', '8', '15'};6932554450021;
Xiaomi Redmi 15C 4G DS 4/128Gb Midnight Black;Redmi 15C DS Black;Xiaomi;128GB;4;4G;Midnight;xiaomi redmi 15c 4g ds 4 128gb midnight black;{'black', '4', '4g', 'xiaomi', '128gb', 'ds', 'redmi', '15c', 'midnight'};6932554444860;MZB0JRYEU
Xiaomi Redmi 15C 4G DS 4/128Gb Mint Green;Redmi 15C DS Mint;Xiaomi;128GB;4;4G;Green;xiaomi redmi 15c 4g ds 4 128gb mint green;{'green', '4', '4g', 'xiaomi', '128gb', 'mint', 'ds', 'redmi', '15c'};6932554455484;
Xiaomi Redmi A3 4G DS 3/64Gb Black;Redmi A3 DS;Xiaomi;64GB;3;4G;Black;xiaomi redmi a3 4g ds 3 64gb black;{'black', '64gb', '4g', 'xiaomi', 'ds', 'a3', 'redmi', '3'};6941812768112;
Xiaomi Redmi A3 4G DS 3/64Gb Blue;Redmi A3 DS;Xiaomi;64GB;3;4G;Blue;xiaomi redmi a3 4g ds 3 64gb blue;{'64gb', '4g', 'xiaomi', 'ds', 'blue', 'a3', 'redmi', '3'};;
Xiaomi Redmi A3 4G DS 3/64Gb Green;Redmi A3 DS;Xiaomi;64GB;3;4G;Green;xiaomi redmi a3 4g ds 3 64gb green;{'green', '64gb', '4g', 'xiaomi', 'ds', 'a3', 'redmi', '3'};;
Xiaomi Redmi A3 4G DS 4/128Gb Black;Redmi A3 DS;Xiaomi;128GB;4;4G;Black;xiaomi redmi a3 4g ds 4 128gb black;{'black', '4', '4g', 'xiaomi', '128gb', 'ds', 'a3', 'redmi'};;
Xiaomi Redmi A3 4G DS 4/128Gb Green;Redmi A3 DS;Xiaomi;128GB;4;4G;Green;xiaomi redmi a3 4g ds 4 128gb green;{'green', '4', '4g', 'xiaomi', '128gb', 'ds', 'a3', 'redmi'};6941812768143;
Xiaomi Redmi A5 4G DS 3/64Gb Lake Green;Redmi A5 DS Lake;Xiaomi;64GB;3;4G;Green;xiaomi redmi a5 4g ds 3 64gb lake green;{'green', '64gb', '4g', 'lake', 'xiaomi', 'ds', 'a5', 'redmi', '3'};6932554425166;MZB0JSLEU
Xiaomi Redmi A5 4G DS 3/64Gb Midnight Black;Redmi A5 DS Black;Xiaomi;64GB;3;4G;Midnight;xiaomi redmi a5 4g ds 3 64gb midnight black;{'black', '64gb', '4g', 'xiaomi', 'ds', 'a5', 'redmi', 'midnight', '3'};6932554425104;MZB0JSEEU
Xiaomi Redmi A5 4G DS 3/64Gb Ocean Blue;Redmi A5 DS Blue;Xiaomi;64GB;3;4G;Ocean;xiaomi redmi a5 4g ds 3 64gb ocean blue;{'64gb', '4g', 'xiaomi', 'ocean', 'ds', 'a5', 'blue', 'redmi', '3'};;MZB0JSTEU
Xiaomi Redmi A5 4G DS 3/64Gb Sandy Gold;Redmi A5 DS Sandy;Xiaomi;64GB;3;4G;Gold;xiaomi redmi a5 4g ds 3 64gb sandy gold;{'64gb', '4g', 'gold', 'xiaomi', 'ds', 'a5', 'redmi', 'sandy', '3'};;MZB0JTE
Xiaomi Redmi A5 4G DS 4/128Gb Black;Redmi A5 DS;Xiaomi;128GB;4;4G;Black;xiaomi redmi a5 4g ds 4 128gb black;{'black', '4', '4g', 'xiaomi', '128gb', 'ds', 'a5', 'redmi'};6932554424978;
